freq (Hz),real(aaSP("/PORT0" "/PORT0")) TL_width 1.5e-05 ,real(aaSP("/PORT0" "/PORT0")) TL_width 2e-05 ,real(aaSP("/PORT0" "/PORT0")) TL_width 2.5e-05 ,real(aaSP("/PORT0" "/PORT0")) TL_width 3e-05 ,real(aaSP("/PORT0" "/PORT0")) TL_width 3.5e-05 ,real(aaSP("/PORT0" "/PORT0")) TL_width 4e-05 ,real(aaSP("/PORT0" "/PORT0")) TL_width 4.5e-05 ,real(aaSP("/PORT0" "/PORT0")) TL_width 5e-05 ,real(aaSP("/PORT0" "/PORT0")) TL_width 5.5e-05 ,real(aaSP("/PORT0" "/PORT0")) TL_width 6e-05 ,real(aaSP("/PORT0" "/PORT0")) TL_width 6.5e-05 ,real(aaSP("/PORT0" "/PORT0")) TL_width 7e-05 ,real(aaSP("/PORT0" "/PORT0")) TL_width 7.5e-05 ,real(aaSP("/PORT0" "/PORT0")) TL_width 8e-05 ,real(aaSP("/PORT0" "/PORT0")) TL_width 8.5e-05 ,real(aaSP("/PORT0" "/PORT0")) TL_width 9e-05 ,real(aaSP("/PORT0" "/PORT0")) TL_width 9.5e-05 ,real(aaSP("/PORT0" "/PORT0")) TL_width 0.0001 ,imag(aaSP("/PORT0" "/PORT0")) TL_width 1.5e-05 ,imag(aaSP("/PORT0" "/PORT0")) TL_width 2e-05 ,imag(aaSP("/PORT0" "/PORT0")) TL_width 2.5e-05 ,imag(aaSP("/PORT0" "/PORT0")) TL_width 3e-05 ,imag(aaSP("/PORT0" "/PORT0")) TL_width 3.5e-05 ,imag(aaSP("/PORT0" "/PORT0")) TL_width 4e-05 ,imag(aaSP("/PORT0" "/PORT0")) TL_width 4.5e-05 ,imag(aaSP("/PORT0" "/PORT0")) TL_width 5e-05 ,imag(aaSP("/PORT0" "/PORT0")) TL_width 5.5e-05 ,imag(aaSP("/PORT0" "/PORT0")) TL_width 6e-05 ,imag(aaSP("/PORT0" "/PORT0")) TL_width 6.5e-05 ,imag(aaSP("/PORT0" "/PORT0")) TL_width 7e-05 ,imag(aaSP("/PORT0" "/PORT0")) TL_width 7.5e-05 ,imag(aaSP("/PORT0" "/PORT0")) TL_width 8e-05 ,imag(aaSP("/PORT0" "/PORT0")) TL_width 8.5e-05 ,imag(aaSP("/PORT0" "/PORT0")) TL_width 9e-05 ,imag(aaSP("/PORT0" "/PORT0")) TL_width 9.5e-05 ,imag(aaSP("/PORT0" "/PORT0")) TL_width 0.0001 ,real(aaSP("/PORT0" "/PORT1")) TL_width 1.5e-05 ,real(aaSP("/PORT0" "/PORT1")) TL_width 2e-05 ,real(aaSP("/PORT0" "/PORT1")) TL_width 2.5e-05 ,real(aaSP("/PORT0" "/PORT1")) TL_width 3e-05 ,real(aaSP("/PORT0" "/PORT1")) TL_width 3.5e-05 ,real(aaSP("/PORT0" "/PORT1")) TL_width 4e-05 ,real(aaSP("/PORT0" "/PORT1")) TL_width 4.5e-05 ,real(aaSP("/PORT0" "/PORT1")) TL_width 5e-05 ,real(aaSP("/PORT0" "/PORT1")) TL_width 5.5e-05 ,real(aaSP("/PORT0" "/PORT1")) TL_width 6e-05 ,real(aaSP("/PORT0" "/PORT1")) TL_width 6.5e-05 ,real(aaSP("/PORT0" "/PORT1")) TL_width 7e-05 ,real(aaSP("/PORT0" "/PORT1")) TL_width 7.5e-05 ,real(aaSP("/PORT0" "/PORT1")) TL_width 8e-05 ,real(aaSP("/PORT0" "/PORT1")) TL_width 8.5e-05 ,real(aaSP("/PORT0" "/PORT1")) TL_width 9e-05 ,real(aaSP("/PORT0" "/PORT1")) TL_width 9.5e-05 ,real(aaSP("/PORT0" "/PORT1")) TL_width 0.0001 ,imag(aaSP("/PORT0" "/PORT1")) TL_width 1.5e-05 ,imag(aaSP("/PORT0" "/PORT1")) TL_width 2e-05 ,imag(aaSP("/PORT0" "/PORT1")) TL_width 2.5e-05 ,imag(aaSP("/PORT0" "/PORT1")) TL_width 3e-05 ,imag(aaSP("/PORT0" "/PORT1")) TL_width 3.5e-05 ,imag(aaSP("/PORT0" "/PORT1")) TL_width 4e-05 ,imag(aaSP("/PORT0" "/PORT1")) TL_width 4.5e-05 ,imag(aaSP("/PORT0" "/PORT1")) TL_width 5e-05 ,imag(aaSP("/PORT0" "/PORT1")) TL_width 5.5e-05 ,imag(aaSP("/PORT0" "/PORT1")) TL_width 6e-05 ,imag(aaSP("/PORT0" "/PORT1")) TL_width 6.5e-05 ,imag(aaSP("/PORT0" "/PORT1")) TL_width 7e-05 ,imag(aaSP("/PORT0" "/PORT1")) TL_width 7.5e-05 ,imag(aaSP("/PORT0" "/PORT1")) TL_width 8e-05 ,imag(aaSP("/PORT0" "/PORT1")) TL_width 8.5e-05 ,imag(aaSP("/PORT0" "/PORT1")) TL_width 9e-05 ,imag(aaSP("/PORT0" "/PORT1")) TL_width 9.5e-05 ,imag(aaSP("/PORT0" "/PORT1")) TL_width 0.0001 
0.000,3.253E-3,2.442E-3,1.955E-3,1.629E-3,1.397E-3,1.223E-3,1.087E-3,978.3E-6,889.4E-6,815.3E-6,755.7E-6,704.5E-6,660.2E-6,621.4E-6,587.2E-6,556.8E-6,529.6E-6,505.0E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,996.7E-3,997.6E-3,998.0E-3,998.4E-3,998.6E-3,998.8E-3,998.9E-3,999.0E-3,999.1E-3,999.2E-3,999.2E-3,999.3E-3,999.3E-3,999.4E-3,999.4E-3,999.4E-3,999.5E-3,999.5E-3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.024E9,27.67E-3,22.68E-3,19.63E-3,16.64E-3,14.27E-3,12.19E-3,10.15E-3,8.362E-3,6.597E-3,5.063E-3,3.521E-3,2.062E-3,636.4E-6,-785.4E-6,-2.144E-3,-3.552E-3,-4.854E-3,-6.189E-3,87.98E-3,69.34E-3,60.76E-3,48.91E-3,39.54E-3,30.90E-3,21.64E-3,13.53E-3,5.220E-3,-1.929E-3,-9.233E-3,-16.11E-3,-22.81E-3,-29.42E-3,-35.66E-3,-42.02E-3,-47.80E-3,-53.62E-3,967.2E-3,970.2E-3,973.1E-3,974.8E-3,976.2E-3,977.3E-3,978.0E-3,978.5E-3,978.8E-3,979.1E-3,979.1E-3,979.0E-3,978.9E-3,978.6E-3,978.3E-3,977.8E-3,977.3E-3,976.8E-3,-189.4E-3,-188.6E-3,-181.2E-3,-179.5E-3,-177.0E-3,-175.2E-3,-175.0E-3,-174.7E-3,-175.3E-3,-175.4E-3,-176.3E-3,-177.3E-3,-178.5E-3,-180.0E-3,-181.5E-3,-183.4E-3,-185.0E-3,-186.9E-3
2.048E9,76.44E-3,61.48E-3,52.63E-3,43.29E-3,35.80E-3,29.14E-3,22.37E-3,16.43E-3,10.42E-3,5.218E-3,-102.5E-6,-5.158E-3,-10.13E-3,-15.12E-3,-19.89E-3,-24.87E-3,-29.45E-3,-34.16E-3,155.7E-3,122.4E-3,107.8E-3,86.37E-3,69.42E-3,53.65E-3,36.56E-3,21.58E-3,6.172E-3,-7.071E-3,-20.61E-3,-33.34E-3,-45.71E-3,-57.89E-3,-69.34E-3,-80.95E-3,-91.48E-3,-102.0E-3,902.7E-3,909.7E-3,918.0E-3,922.3E-3,926.1E-3,928.9E-3,930.3E-3,931.4E-3,931.5E-3,931.7E-3,931.2E-3,930.4E-3,929.3E-3,927.8E-3,926.2E-3,924.1E-3,922.1E-3,919.8E-3,-358.3E-3,-360.2E-3,-347.8E-3,-346.1E-3,-342.4E-3,-339.7E-3,-340.2E-3,-340.0E-3,-341.5E-3,-341.9E-3,-343.7E-3,-345.5E-3,-347.6E-3,-350.3E-3,-352.9E-3,-356.1E-3,-358.8E-3,-362.0E-3
3.072E9,142.9E-3,114.7E-3,98.28E-3,80.02E-3,65.29E-3,51.99E-3,38.25E-3,26.14E-3,13.80E-3,3.104E-3,-7.866E-3,-18.28E-3,-28.52E-3,-38.77E-3,-48.54E-3,-58.68E-3,-67.96E-3,-77.46E-3,200.5E-3,157.5E-3,140.2E-3,112.3E-3,90.17E-3,69.39E-3,46.57E-3,26.55E-3,5.909E-3,-11.80E-3,-29.88E-3,-46.84E-3,-63.24E-3,-79.29E-3,-94.30E-3,-109.4E-3,-123.0E-3,-136.4E-3,809.6E-3,819.9E-3,835.2E-3,842.2E-3,848.8E-3,853.8E-3,855.7E-3,857.3E-3,857.0E-3,857.0E-3,855.6E-3,853.7E-3,851.2E-3,847.9E-3,844.4E-3,840.1E-3,836.1E-3,831.4E-3,-503.9E-3,-512.3E-3,-497.8E-3,-498.1E-3,-494.8E-3,-492.3E-3,-493.9E-3,-494.3E-3,-496.7E-3,-497.4E-3,-499.8E-3,-502.0E-3,-504.5E-3,-507.5E-3,-510.3E-3,-513.8E-3,-516.5E-3,-519.6E-3
4.096E9,216.9E-3,174.5E-3,150.5E-3,122.2E-3,99.16E-3,78.13E-3,56.04E-3,36.51E-3,16.50E-3,-821.4E-6,-18.61E-3,-35.46E-3,-51.97E-3,-68.41E-3,-83.98E-3,-100.0E-3,-114.6E-3,-129.4E-3,218.5E-3,170.9E-3,154.3E-3,123.4E-3,99.12E-3,75.97E-3,50.11E-3,27.46E-3,4.057E-3,-15.97E-3,-36.36E-3,-55.40E-3,-73.69E-3,-91.45E-3,-107.9E-3,-124.3E-3,-139.0E-3,-153.3E-3,697.4E-3,707.9E-3,730.4E-3,739.0E-3,748.1E-3,754.8E-3,756.7E-3,758.6E-3,757.4E-3,757.1E-3,754.5E-3,751.4E-3,747.3E-3,742.2E-3,737.0E-3,730.4E-3,724.5E-3,717.7E-3,-621.9E-3,-639.8E-3,-626.3E-3,-630.4E-3,-629.0E-3,-628.0E-3,-631.4E-3,-632.6E-3,-636.0E-3,-636.9E-3,-639.4E-3,-641.5E-3,-643.6E-3,-646.1E-3,-648.1E-3,-650.7E-3,-652.2E-3,-654.0E-3
5.120E9,289.5E-3,233.6E-3,203.1E-3,164.8E-3,133.6E-3,104.6E-3,73.78E-3,46.44E-3,18.31E-3,-6.011E-3,-30.96E-3,-54.51E-3,-77.49E-3,-100.2E-3,-121.6E-3,-143.4E-3,-163.2E-3,-183.0E-3,211.5E-3,163.4E-3,150.5E-3,119.9E-3,96.33E-3,73.53E-3,47.55E-3,24.89E-3,1.452E-3,-18.51E-3,-38.74E-3,-57.52E-3,-75.42E-3,-92.61E-3,-108.4E-3,-123.9E-3,-137.7E-3,-151.0E-3,574.2E-3,580.4E-3,608.9E-3,617.2E-3,627.7E-3,635.5E-3,636.6E-3,638.2E-3,635.8E-3,635.1E-3,631.3E-3,627.0E-3,621.8E-3,615.2E-3,608.7E-3,600.4E-3,593.4E-3,585.3E-3,-713.5E-3,-742.1E-3,-732.1E-3,-741.2E-3,-742.8E-3,-744.1E-3,-749.4E-3,-751.9E-3,-755.9E-3,-756.9E-3,-759.1E-3,-760.4E-3,-761.5E-3,-762.7E-3,-763.0E-3,-763.6E-3,-763.1E-3,-762.6E-3
6.144E9,354.1E-3,286.1E-3,251.2E-3,203.9E-3,165.2E-3,129.1E-3,89.94E-3,55.25E-3,19.46E-3,-11.42E-3,-43.04E-3,-72.78E-3,-101.6E-3,-130.0E-3,-156.5E-3,-183.3E-3,-207.4E-3,-231.3E-3,183.1E-3,137.5E-3,130.3E-3,103.0E-3,82.71E-3,62.80E-3,39.53E-3,19.46E-3,-1.292E-3,-18.82E-3,-36.47E-3,-52.72E-3,-68.06E-3,-82.58E-3,-95.84E-3,-108.5E-3,-119.8E-3,-130.5E-3,445.1E-3,442.2E-3,475.3E-3,480.9E-3,491.4E-3,499.2E-3,498.5E-3,499.3E-3,495.3E-3,494.2E-3,489.4E-3,484.4E-3,478.5E-3,471.1E-3,464.2E-3,455.4E-3,448.2E-3,440.0E-3,-781.3E-3,-819.8E-3,-814.9E-3,-829.0E-3,-834.3E-3,-838.2E-3,-845.5E-3,-849.0E-3,-853.4E-3,-854.3E-3,-855.8E-3,-856.0E-3,-855.6E-3,-854.8E-3,-853.0E-3,-851.1E-3,-848.1E-3,-844.8E-3
7.168E9,404.9E-3,326.1E-3,289.3E-3,234.7E-3,190.3E-3,148.3E-3,102.3E-3,61.60E-3,19.52E-3,-16.69E-3,-53.66E-3,-88.30E-3,-121.8E-3,-154.4E-3,-184.8E-3,-215.2E-3,-242.4E-3,-269.2E-3,137.6E-3,96.51E-3,96.23E-3,74.40E-3,59.43E-3,44.53E-3,26.44E-3,11.24E-3,-4.422E-3,-17.45E-3,-30.41E-3,-42.20E-3,-53.16E-3,-63.31E-3,-72.50E-3,-80.97E-3,-88.61E-3,-95.58E-3,315.0E-3,298.2E-3,334.2E-3,334.9E-3,343.7E-3,350.4E-3,346.9E-3,346.4E-3,340.5E-3,339.1E-3,333.5E-3,328.3E-3,322.3E-3,315.1E-3,308.7E-3,300.3E-3,294.2E-3,286.9E-3,-828.1E-3,-873.8E-3,-874.5E-3,-892.8E-3,-901.4E-3,-907.9E-3,-916.4E-3,-920.8E-3,-925.0E-3,-925.7E-3,-926.2E-3,-925.1E-3,-923.0E-3,-920.2E-3,-916.3E-3,-911.8E-3,-906.5E-3,-900.7E-3
8.192E9,438.6E-3,350.3E-3,314.1E-3,254.1E-3,206.0E-3,160.3E-3,109.5E-3,64.71E-3,18.45E-3,-21.23E-3,-61.63E-3,-99.34E-3,-135.6E-3,-170.7E-3,-203.3E-3,-235.7E-3,-264.6E-3,-293.0E-3,80.46E-3,45.51E-3,52.29E-3,37.56E-3,29.33E-3,20.93E-3,9.917E-3,1.261E-3,-7.511E-3,-14.52E-3,-21.27E-3,-27.23E-3,-32.57E-3,-37.23E-3,-41.40E-3,-44.82E-3,-48.11E-3,-50.82E-3,185.2E-3,151.3E-3,188.8E-3,182.6E-3,188.7E-3,193.2E-3,186.1E-3,184.0E-3,176.2E-3,174.4E-3,168.4E-3,163.5E-3,158.1E-3,151.7E-3,146.6E-3,139.6E-3,135.4E-3,130.1E-3,-857.2E-3,-905.5E-3,-912.0E-3,-932.5E-3,-943.6E-3,-951.9E-3,-960.7E-3,-965.4E-3,-968.8E-3,-969.2E-3,-968.5E-3,-966.1E-3,-962.6E-3,-958.0E-3,-952.4E-3,-945.9E-3,-938.8E-3,-931.1E-3
9.216E9,453.7E-3,356.8E-3,323.7E-3,260.5E-3,211.0E-3,163.7E-3,110.7E-3,64.24E-3,16.34E-3,-24.55E-3,-66.05E-3,-104.7E-3,-141.6E-3,-177.3E-3,-210.3E-3,-242.9E-3,-272.1E-3,-300.5E-3,16.87E-3,-10.13E-3,3.125E-3,-3.424E-3,-4.203E-3,-5.272E-3,-8.097E-3,-9.257E-3,-10.16E-3,-10.36E-3,-10.13E-3,-9.609E-3,-8.755E-3,-7.463E-3,-6.209E-3,-4.302E-3,-3.002E-3,-1.304E-3,56.20E-3,3.159E-3,41.32E-3,27.31E-3,29.76E-3,31.53E-3,20.78E-3,16.77E-3,7.157E-3,5.233E-3,-820.6E-6,-5.205E-3,-9.526E-3,-14.60E-3,-17.96E-3,-22.98E-3,-24.90E-3,-27.70E-3,-871.0E-3,-916.3E-3,-928.2E-3,-948.3E-3,-960.5E-3,-969.7E-3,-977.4E-3,-981.6E-3,-983.7E-3,-983.6E-3,-981.7E-3,-978.4E-3,-973.8E-3,-968.0E-3,-961.4E-3,-953.7E-3,-945.8E-3,-937.2E-3
